state,last_changed
590,2025-09-19T03:48:15.973Z
587,2025-09-19T03:48:17.944Z
590,2025-09-19T03:48:19.917Z
589,2025-09-19T03:48:23.847Z
595,2025-09-19T03:48:31.899Z
596,2025-09-19T03:48:33.873Z
604,2025-09-19T03:48:35.843Z
610,2025-09-19T03:48:37.814Z
612,2025-09-19T03:48:41.740Z
610,2025-09-19T03:48:43.706Z
616,2025-09-19T03:48:45.687Z
618,2025-09-19T03:48:53.731Z
624,2025-09-19T03:48:55.733Z
630,2025-09-19T03:48:57.714Z
632,2025-09-19T03:48:59.679Z
639,2025-09-19T03:49:01.635Z
641,2025-09-19T03:49:03.605Z
636,2025-09-19T03:49:05.576Z
643,2025-09-19T03:49:07.544Z
645,2025-09-19T03:49:15.586Z
641,2025-09-19T03:49:17.560Z
643,2025-09-19T03:49:19.534Z
635,2025-09-19T03:49:21.527Z
637,2025-09-19T03:49:23.492Z
638,2025-09-19T03:49:25.475Z
639,2025-09-19T03:49:27.442Z
654,2025-09-19T03:49:29.443Z
658,2025-09-19T03:49:37.489Z
669,2025-09-19T03:49:39.457Z
672,2025-09-19T03:49:41.428Z
671,2025-09-19T03:49:43.397Z
669,2025-09-19T03:49:45.355Z
672,2025-09-19T03:49:47.335Z
679,2025-09-19T03:49:49.308Z
680,2025-09-19T03:49:51.279Z
683,2025-09-19T03:50:00.106Z
684,2025-09-19T03:50:02.086Z
693,2025-09-19T03:50:04.052Z
696,2025-09-19T03:50:06.026Z
695,2025-09-19T03:50:07.992Z
697,2025-09-19T03:50:09.941Z
696,2025-09-19T03:50:11.917Z
699,2025-09-19T03:50:13.892Z
705,2025-09-19T03:50:21.928Z
706,2025-09-19T03:50:25.903Z
708,2025-09-19T03:50:27.842Z
707,2025-09-19T03:50:29.851Z
709,2025-09-19T03:50:33.753Z
708,2025-09-19T03:50:35.718Z
711,2025-09-19T03:50:45.744Z
707,2025-09-19T03:50:47.707Z
702,2025-09-19T03:50:49.674Z
703,2025-09-19T03:51:04.573Z
707,2025-09-19T03:51:08.544Z
710,2025-09-19T03:51:10.521Z
712,2025-09-19T03:51:12.479Z
717,2025-09-19T03:51:14.453Z
718,2025-09-19T03:51:16.413Z
717,2025-09-19T03:51:18.387Z
716,2025-09-19T03:51:26.440Z
712,2025-09-19T03:51:28.401Z
715,2025-09-19T03:51:32.332Z
713,2025-09-19T03:51:34.304Z
718,2025-09-19T03:51:36.274Z
720,2025-09-19T03:51:38.237Z
718,2025-09-19T03:51:40.211Z
714,2025-09-19T03:51:48.259Z
713,2025-09-19T03:51:50.255Z
716,2025-09-19T03:51:54.192Z
720,2025-09-19T03:51:56.159Z
721,2025-09-19T03:51:58.136Z
724,2025-09-19T03:52:00.099Z
723,2025-09-19T03:52:12.090Z
722,2025-09-19T03:52:14.057Z
723,2025-09-19T03:52:16.043Z
726,2025-09-19T03:52:18.014Z
728,2025-09-19T03:52:19.993Z
727,2025-09-19T03:52:23.924Z
721,2025-09-19T03:52:39.743Z
720,2025-09-19T03:52:41.723Z
717,2025-09-19T03:52:43.699Z
718,2025-09-19T03:52:45.655Z
726,2025-09-19T03:52:59.916Z
729,2025-09-19T03:53:01.891Z
726,2025-09-19T03:53:03.863Z
723,2025-09-19T03:53:05.824Z
724,2025-09-19T03:53:13.872Z
726,2025-09-19T03:53:15.845Z
732,2025-09-19T03:53:17.813Z
735,2025-09-19T03:53:19.764Z
738,2025-09-19T03:53:21.725Z
734,2025-09-19T03:53:27.649Z
740,2025-09-19T03:53:35.707Z
741,2025-09-19T03:53:37.672Z
747,2025-09-19T03:53:41.602Z
745,2025-09-19T03:53:43.574Z
743,2025-09-19T03:53:45.537Z
748,2025-09-19T03:53:47.509Z
747,2025-09-19T03:53:49.475Z
749,2025-09-19T03:53:57.519Z
751,2025-09-19T03:53:59.486Z
750,2025-09-19T03:54:03.442Z
749,2025-09-19T03:54:05.393Z
748,2025-09-19T03:54:07.372Z
749,2025-09-19T03:54:09.363Z
751,2025-09-19T03:54:11.333Z
755,2025-09-19T03:54:19.407Z
757,2025-09-19T03:54:21.346Z
752,2025-09-19T03:54:23.314Z
749,2025-09-19T03:54:25.291Z
751,2025-09-19T03:54:27.254Z
750,2025-09-19T03:54:29.234Z
753,2025-09-19T03:54:33.167Z
750,2025-09-19T03:54:41.221Z
752,2025-09-19T03:54:43.187Z
751,2025-09-19T03:54:45.160Z
750,2025-09-19T03:54:47.106Z
748,2025-09-19T03:54:49.075Z
744,2025-09-19T03:54:51.054Z
747,2025-09-19T03:54:53.030Z
743,2025-09-19T03:54:54.996Z
751,2025-09-19T03:55:09.376Z
750,2025-09-19T03:55:11.339Z
753,2025-09-19T03:55:13.314Z
756,2025-09-19T03:55:23.318Z
760,2025-09-19T03:55:25.296Z
758,2025-09-19T03:55:27.264Z
757,2025-09-19T03:55:29.299Z
755,2025-09-19T03:55:31.235Z
756,2025-09-19T03:55:33.203Z
761,2025-09-19T03:55:37.132Z
767,2025-09-19T03:55:47.197Z
770,2025-09-19T03:55:49.163Z
772,2025-09-19T03:55:51.125Z
767,2025-09-19T03:55:55.066Z
766,2025-09-19T03:55:57.035Z
767,2025-09-19T03:55:58.990Z
772,2025-09-19T03:56:07.049Z
776,2025-09-19T03:56:09.015Z
774,2025-09-19T03:56:10.985Z
778,2025-09-19T03:56:14.925Z
777,2025-09-19T03:56:16.882Z
778,2025-09-19T03:56:20.818Z
772,2025-09-19T03:56:28.872Z
771,2025-09-19T03:56:30.881Z
769,2025-09-19T03:56:32.821Z
765,2025-09-19T03:56:34.773Z
768,2025-09-19T03:56:36.733Z
769,2025-09-19T03:56:38.712Z
774,2025-09-19T03:56:40.692Z
772,2025-09-19T03:56:42.659Z
771,2025-09-19T03:56:50.698Z
770,2025-09-19T03:56:52.668Z
768,2025-09-19T03:56:54.637Z
774,2025-09-19T03:56:56.602Z
769,2025-09-19T03:56:58.578Z
771,2025-09-19T03:57:00.558Z
772,2025-09-19T03:57:02.522Z
773,2025-09-19T03:57:04.493Z
775,2025-09-19T03:57:12.532Z
772,2025-09-19T03:57:14.496Z
765,2025-09-19T03:57:16.518Z
